player_id,name,club_id,position,url
432281,marton-dardai,44,Defender - Centre-Back,https://www.transfermarkt.co.uk/marton-dardai/profil/spieler/432281
524285,luca-netz,44,Defender - Left-Back,https://www.transfermarkt.co.uk/luca-netz/profil/spieler/524285
126214,mathew-leckie,44,attack - Right Winger,https://www.transfermarkt.co.uk/mathew-leckie/profil/spieler/126214
282577,lukas-klunter,44,Defender - Right-Back,https://www.transfermarkt.co.uk/lukas-klunter/profil/spieler/282577
179643,vladimir-darida,44,midfield - Central Midfield,https://www.transfermarkt.co.uk/vladimir-darida/profil/spieler/179643
85789,martin-hinteregger,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/martin-hinteregger/profil/spieler/85789
472224,felix-irorere,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/felix-irorere/profil/spieler/472224
198008,andre-silva,24,attack - Centre-Forward,https://www.transfermarkt.co.uk/andre-silva/profil/spieler/198008
296741,markus-schubert,24,Goalkeeper,https://www.transfermarkt.co.uk/markus-schubert/profil/spieler/296741
546213,tuta,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/tuta/profil/spieler/546213
555719,ali-akman,24,attack - Centre-Forward,https://www.transfermarkt.co.uk/ali-akman/profil/spieler/555719
161011,filip-kostic,24,midfield - Left Midfield,https://www.transfermarkt.co.uk/filip-kostic/profil/spieler/161011
569288,elias-bordner,24,Goalkeeper,https://www.transfermarkt.co.uk/elias-bordner/profil/spieler/569288
49723,timothy-chandler,24,Defender - Right-Back,https://www.transfermarkt.co.uk/timothy-chandler/profil/spieler/49723
356141,daichi-kamada,24,midfield - Attacking Midfield,https://www.transfermarkt.co.uk/daichi-kamada/profil/spieler/356141
519226,jabez-makanda,24,attack - Centre-Forward,https://www.transfermarkt.co.uk/jabez-makanda/profil/spieler/519226
96167,amin-younes,24,midfield - Attacking Midfield,https://www.transfermarkt.co.uk/amin-younes/profil/spieler/96167
315332,aymen-barkok,24,midfield - Attacking Midfield,https://www.transfermarkt.co.uk/aymen-barkok/profil/spieler/315332
416380,ragnar-ache,24,attack - Centre-Forward,https://www.transfermarkt.co.uk/ragnar-ache/profil/spieler/416380
529198,fynn-otto,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/fynn-otto/profil/spieler/529198
39259,makoto-hasebe,24,midfield - Defensive Midfield,https://www.transfermarkt.co.uk/makoto-hasebe/profil/spieler/39259
371149,evan-ndicka,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/evan-ndicka/profil/spieler/371149
265625,ajdin-hrustic,24,midfield - Attacking Midfield,https://www.transfermarkt.co.uk/ajdin-hrustic/profil/spieler/265625
441238,yannick-brugger,24,Defender - Centre-Back,https://www.transfermarkt.co.uk/yannick-brugger/profil/spieler/441238
68033,steven-zuber,24,midfield - Left Midfield,https://www.transfermarkt.co.uk/steven-zuber/profil/spieler/68033
44466,sebastian-rode,24,midfield - Central Midfield,https://www.transfermarkt.co.uk/sebastian-rode/profil/spieler/44466
93922,erik-durm,24,Defender - Right-Back,https://www.transfermarkt.co.uk/erik-durm/profil/spieler/93922
45672,kevin-trapp,24,Goalkeeper,https://www.transfermarkt.co.uk/kevin-trapp/profil/spieler/45672
40074,stefan-ilsanker,24,midfield - Defensive Midfield,https://www.transfermarkt.co.uk/stefan-ilsanker/profil/spieler/40074
216181,almamy-toure,24,Defender - Right-Back,https://www.transfermarkt.co.uk/almamy-toure/profil/spieler/216181
212723,djibril-sow,24,midfield - Central Midfield,https://www.transfermarkt.co.uk/djibril-sow/profil/spieler/212723
